Time_in_sec,gx,gy,gz
1322936288.90864396,-0.01077112,0.00896825,-0.99990177
1322936288.96065164,-0.01058762,0.00913158,-0.99990225
1322936289.02069449,-0.01069165,0.00928577,-0.99989973
1322936289.06167650,-0.01067145,0.00937683,-0.99989909
1322936289.10965776,-0.01043794,0.00940369,-0.99990131
1322936289.16064262,-0.01043543,0.00928022,-0.99990248
1322936289.20967245,-0.01048015,0.00922168,-0.99990256
1322936289.26053405,-0.01046814,0.00938511,-0.99990116
1322936289.32063890,-0.01036042,0.00935480,-0.99990257
1322936289.36167216,-0.01042026,0.00924049,-0.99990301
1322936289.41373777,-0.01025693,0.00930774,-0.99990408
1322936289.46063995,-0.01024421,0.00920964,-0.99990511
1322936289.52154684,-0.01027882,0.00932242,-0.99990371
1322936289.56165528,-0.01034129,0.00910035,-0.99990512
1322936289.60864162,-0.01033889,0.00913197,-0.99990485
1322936289.66167402,-0.01029895,0.00927666,-0.99990393
1322936289.71364307,-0.01037992,0.00898685,-0.99990574
1322936289.76155114,-0.01051024,0.00906432,-0.99990368
1322936289.82064199,-0.01050127,0.00898044,-0.99990453
1322936289.86165857,-0.01019452,0.00897673,-0.99990774
1322936289.92150974,-0.01035271,0.00902565,-0.99990568
1322936289.96166301,-0.01045654,0.00919908,-0.99990301
1322936290.02167678,-0.01032086,0.00940674,-0.99990249
1322936290.06165266,-0.01045501,0.00933130,-0.99990180
1322936290.12063980,-0.01035007,0.00941810,-0.99990208
1322936290.16165638,-0.01018828,0.00952360,-0.99990275
1322936290.21372223,-0.01036227,0.00938410,-0.99990228
1322936290.26167679,-0.01026984,0.00946406,-0.99990248
1322936290.31360817,-0.01035720,0.00960368,-0.99990024
1322936290.36056304,-0.01024769,0.00958585,-0.99990154
1322936290.40875745,-0.01012791,0.00954986,-0.99990311
1322936290.46062946,-0.01029924,0.00952512,-0.99990159
1322936290.51257038,-0.01026975,0.00951627,-0.99990198
1322936290.56053472,-0.01022455,0.00947698,-0.99990282
1322936290.60967445,-0.01024477,0.00970568,-0.99990042
1322936290.66059613,-0.01025603,0.00958426,-0.99990147
1322936290.72080088,-0.01041143,0.00958602,-0.99989985
1322936290.76105809,-0.01074109,0.00955746,-0.99989664
1322936290.82055068,-0.01083960,0.00947812,-0.99989633
1322936290.86066031,-0.01073617,0.00944715,-0.99989774
1322936290.92225051,-0.01096285,0.00933760,-0.99989631
1322936290.96156144,-0.01064464,0.00947092,-0.99989849
1322936291.01254678,-0.01083881,0.00963376,-0.99989485
1322936291.06052589,-0.01068009,0.00968509,-0.99989606
1322936291.10965872,-0.01060611,0.00963247,-0.99989736
1322936291.16160631,-0.01073493,0.00940321,-0.99989817
1322936291.20967078,-0.01061119,0.00940175,-0.99989950
1322936291.26154733,-0.01056753,0.00941172,-0.99989987
1322936291.30965495,-0.01069512,0.00942555,-0.99989838
1322936291.36864710,-0.01057389,0.00941115,-0.99989981
1322936291.40977144,-0.01098093,0.00913441,-0.99989799
