Time_in_sec,Mx,My,Mz
1322941044.16864824,-0.57199192,-0.00014398,-0.86726129
1322941044.21758795,-0.57039803,-0.00194007,-0.86569744
1322941044.26869154,-0.57332617,-0.00201803,-0.86719078
1322941044.31656218,-0.57269710,-0.00493152,-0.86607176
1322941044.36864424,-0.57066584,-0.00128482,-0.86784071
1322941044.41771674,-0.57321233,-0.00226677,-0.86758053
1322941044.47056246,-0.57095551,0.00012872,-0.87025625
1322941044.51657581,-0.57139367,-0.00317726,-0.86667389
1322941044.56851649,-0.57230479,-0.00304809,-0.86606336
1322941044.61736345,-0.57270736,-0.00251715,-0.86821336
1322941044.66667366,-0.57314789,-0.00441574,-0.86676478
1322941044.71656084,-0.57192343,-0.00179098,-0.86631632
1322941044.76559663,-0.57194334,-0.00228992,-0.86671185
1322941044.81652904,-0.57040799,-0.00269227,-0.86595780
1322941044.86864066,-0.57372034,-0.00264424,-0.86707592
1322941044.91651893,-0.57018071,-0.00102866,-0.86874384
1322941044.96557188,-0.57096267,-0.00218103,-0.86612594
1322941045.01732373,-0.57075500,-0.00317745,-0.86730099
1322941045.06556559,-0.57216418,-0.00367901,-0.86605066
1322941045.11759663,-0.57377857,-0.00341161,-0.86587930
1322941045.16853619,-0.57299072,-0.00301448,-0.86849123
1322941045.21655989,-0.57191151,-0.00129053,-0.86605394
1322941045.26964450,-0.57032073,0.00063203,-0.87088728
1322941045.31655931,-0.57273871,-0.00266123,-0.86648905
1322941045.36963892,-0.57415223,-0.00150367,-0.86737442
1322941045.41739058,-0.57108599,-0.00266019,-0.86825258
1322941045.46558166,-0.57221180,-0.00266442,-0.86672437
1322941045.51665926,-0.57242656,-0.00279782,-0.86580676
1322941045.56854916,-0.57235646,-0.00253547,-0.86686629
1322941045.61650419,-0.57293797,-0.00264751,-0.86756206
1322941045.66943121,-0.57090455,-0.00241913,-0.86744779
1322941045.71656084,-0.57261914,0.00050682,-0.86862886
1322941045.76959896,-0.57119781,-0.00266320,-0.86786079
1322941045.81657124,-0.57185894,-0.00293449,-0.86537528
1322941045.86952758,-0.57057565,-0.00469557,-0.86674869
1322941045.91672087,-0.57312942,-0.00364077,-0.86862719
1322941045.96957278,-0.57190669,-0.00393083,-0.86629951
1322941046.01779580,-0.57208610,-0.00341818,-0.86697698
1322941046.06965494,-0.57101703,0.00190007,-0.87106907
1322941046.11714602,-0.57098758,-0.00305606,-0.86665165
1322941046.16855884,-0.57155418,-0.00203980,-0.86695689
1322941046.21765304,-0.57249504,-0.00115082,-0.86675173
1322941046.26960683,-0.57124817,-0.00443755,-0.86665624
1322941046.31673241,-0.57348669,-0.00188604,-0.86759901
1322941046.36855698,-0.57013112,-0.00229500,-0.86806810
1322941046.41768432,-0.57227129,-0.00013935,-0.86740994
1322941046.46556544,-0.57335311,-0.00364678,-0.86784375
1322941046.51673388,-0.57186562,0.00013202,-0.86964470
1322941046.56554222,-0.57429093,-0.00212996,-0.86751038
1322941046.61656690,-0.57167995,-0.00229151,-0.86682951
1322941046.66602063,-0.57279646,-0.00440977,-0.86767364
1322941046.71661186,-0.57162338,-0.00343350,-0.86602163
1322941046.76677966,-0.57211006,-0.00441908,-0.86750174
1322941046.81655836,-0.57182616,-0.00306644,-0.86484164
1322941046.86676574,-0.56782252,0.00159881,-0.86969042
1322941046.91755962,-0.57325608,-0.00276114,-0.86837554
1322941046.96853781,-0.57118946,-0.00382035,-0.86559594
1322941047.01655746,-0.57303303,-0.00378489,-0.86702830
1322941047.06854439,-0.57183057,-0.00241278,-0.86710256
1322941047.11733246,-0.57244062,-0.00505746,-0.86632156
1322941047.16652226,-0.57133842,-0.00203227,-0.86787355
1322941047.21755290,-0.57394350,-0.00262596,-0.86854845
1322941047.26683903,-0.57276154,-0.00278254,-0.86688751
1322941047.31652570,-0.57030243,0.00022707,-0.86836201
1322941047.36668968,-0.57329774,-0.00149632,-0.86891812
1322941047.41764498,-0.57143927,-0.00140895,-0.86722040
1322941047.46856785,-0.57177585,-0.00229756,-0.86617142
1322941047.51654530,-0.57449967,-0.00201313,-0.86646158
1322941047.56671143,-0.57188725,-0.00328174,-0.86816096
1322941047.61654735,-0.57506722,-0.00087100,-0.86676782
1322941047.66964602,-0.57124472,0.00139209,-0.87041479
1322941047.71764708,-0.57264078,-0.00290693,-0.86714512
1322941047.76855135,-0.57300907,-0.00278399,-0.86650354
1322941047.81657195,-0.57112384,-0.00390981,-0.86904162
