Time_in_sec,gx,gy,gz
1322933578.26565552,-0.01188426,0.00175850,-0.99992783
1322933578.32456923,-0.01196689,0.00179580,-0.99992678
1322933578.36553526,-0.01181671,0.00180654,-0.99992855
1322933578.42453837,-0.01191470,0.00149583,-0.99992790
1322933578.47311163,-0.01181561,0.00142238,-0.99992918
1322933578.52568221,-0.01189012,0.00147055,-0.99992823
1322933578.56556463,-0.01194917,0.00146801,-0.99992753
1322933578.62457013,-0.01201594,0.00159355,-0.99992654
1322933578.66465473,-0.01207047,0.00167896,-0.99992574
1322933578.72464609,-0.01222823,0.00174650,-0.99992371
1322933578.77252007,-0.01207732,0.00195530,-0.99992515
1322933578.82555938,-0.01230026,0.00228568,-0.99992174
1322933578.87256455,-0.01206742,0.00221708,-0.99992473
1322933578.91367173,-0.01218410,0.00228301,-0.99992316
1322933578.96571422,-0.01236772,0.00221558,-0.99992106
1322933579.02454424,-0.01245095,0.00229729,-0.99991984
1322933579.06454229,-0.01224141,0.00237983,-0.99992224
1322933579.12455225,-0.01232379,0.00245432,-0.99992105
1322933579.17365646,-0.01204672,0.00234184,-0.99992469
1322933579.21355486,-0.01201697,0.00236230,-0.99992500
1322933579.27256513,-0.01185470,0.00236744,-0.99992693
1322933579.32454371,-0.01163177,0.00242640,-0.99992940
1322933579.36629987,-0.01181467,0.00218647,-0.99992781
1322933579.42568278,-0.01180625,0.00213930,-0.99992802
1322933579.47254467,-0.01182226,0.00201454,-0.99992809
1322933579.52464938,-0.01190103,0.00195052,-0.99992728
1322933579.56564927,-0.01178664,0.00184041,-0.99992884
1322933579.62465024,-0.01180856,0.00176342,-0.99992872
1322933579.66566181,-0.01183208,0.00179977,-0.99992838
1322933579.71265531,-0.01165893,0.00160297,-0.99993075
1322933579.77257633,-0.01172198,0.00158108,-0.99993005
1322933579.81364989,-0.01174823,0.00166969,-0.99992959
1322933579.87256336,-0.01180579,0.00188237,-0.99992854
1322933579.91364980,-0.01194227,0.00193184,-0.99992682
1322933579.97252059,-0.01196999,0.00188347,-0.99992658
1322933580.02456474,-0.01201478,0.00178727,-0.99992622
1322933580.06565404,-0.01186653,0.00176159,-0.99992804
1322933580.12465310,-0.01168950,0.00182023,-0.99993002
1322933580.16464829,-0.01158268,0.00196755,-0.99993098
1322933580.21264696,-0.01152260,0.00202121,-0.99993157
1322933580.26567745,-0.01154159,0.00186212,-0.99993166
1322933580.32566285,-0.01157608,0.00182805,-0.99993132
1322933580.36565018,-0.01137457,0.00170924,-0.99993385
1322933580.42464256,-0.01134800,0.00156450,-0.99993439
1322933580.46565413,-0.01152219,0.00160527,-0.99993233
1322933580.52629709,-0.01162307,0.00158028,-0.99993120
1322933580.56573772,-0.01171592,0.00147188,-0.99993028
1322933580.61257315,-0.01187836,0.00143694,-0.99992842
1322933580.66464448,-0.01171327,0.00173035,-0.99992990
1322933580.72457361,-0.01166372,0.00188116,-0.99993021
1322933580.77257419,-0.01167289,0.00181394,-0.99993022
1322933580.82453609,-0.01164213,0.00168766,-0.99993080
1322933580.87366343,-0.01180231,0.00164416,-0.99992900
1322933580.92465425,-0.01192672,0.00173717,-0.99992737
1322933580.96461844,-0.01210254,0.00190402,-0.99992495
1322933581.01264668,-0.01223207,0.00196423,-0.99992326
1322933581.07253528,-0.01209498,0.00196909,-0.99992491
1322933581.12465024,-0.01196101,0.00212111,-0.99992621
1322933581.16228557,-0.01190520,0.00209497,-0.99992694
1322933581.22567821,-0.01208395,0.00219774,-0.99992457
1322933581.26646423,-0.01212581,0.00219472,-0.99992407
1322933581.32565117,-0.01202169,0.00223813,-0.99992523
1322933581.37368917,-0.01219852,0.00200357,-0.99992359
1322933581.42464542,-0.01223176,0.00201083,-0.99992317
1322933581.47257328,-0.01224325,0.00179128,-0.99992344
1322933581.52556539,-0.01243466,0.00173704,-0.99992118
1322933581.57257342,-0.01239579,0.00192556,-0.99992132
1322933581.62564898,-0.01256228,0.00151930,-0.99991994
1322933581.66227150,-0.01254658,0.00142305,-0.99992028
1322933581.72464275,-0.01226590,0.00138926,-0.99992381
1322933581.76466322,-0.01236233,0.00119894,-0.99992286
1322933581.82466102,-0.01230729,0.00126337,-0.99992346
1322933581.86564946,-0.01236178,0.00100795,-0.99992308
1322933581.91264749,-0.01225558,0.00116141,-0.99992422
1322933581.96564984,-0.01231718,0.00114782,-0.99992348
1322933582.02464604,-0.01245265,0.00100069,-0.99992196
1322933582.06230187,-0.01243415,0.00074193,-0.99992242
1322933582.12465525,-0.01230072,0.00076525,-0.99992405
1322933582.17369771,-0.01228429,0.00070443,-0.99992430
1322933582.22564316,-0.01223869,0.00052180,-0.99992497
1322933582.26679373,-0.01220686,0.00057055,-0.99992533
1322933582.32453132,-0.01202495,0.00053880,-0.99992755
1322933582.37302232,-0.01197888,0.00065501,-0.99992804
1322933582.41367960,-0.01207398,0.00067847,-0.99992688
1322933582.47277045,-0.01229481,0.00041192,-0.99992433
1322933582.52464509,-0.01221538,0.00028090,-0.99992535
1322933582.57254505,-0.01236464,0.00039998,-0.99992347
1322933582.61264706,-0.01218495,0.00038952,-0.99992568
1322933582.67355752,-0.01224434,0.00041216,-0.99992495
1322933582.72223067,-0.01231806,0.00027742,-0.99992409
1322933582.77260184,-0.01216275,0.00023660,-0.99992600
1322933582.82453060,-0.01236236,0.00022267,-0.99992356
1322933582.86556673,-0.01253435,0.00034497,-0.99992138
1322933582.92465639,-0.01268973,0.00026036,-0.99991945
1322933582.97300363,-0.01282355,0.00019038,-0.99991776
1322933583.02453828,-0.01293842,0.00011408,-0.99991629
1322933583.07265878,-0.01276220,-0.00005449,-0.99991856
1322933583.11365581,-0.01281276,-0.00008259,-0.99991791
1322933583.17251801,-0.01272965,-0.00009825,-0.99991897
1322933583.21351957,-0.01300080,-0.00006024,-0.99991548
1322933583.27257895,-0.01298478,0.00007478,-0.99991569
1322933583.32465506,-0.01296705,0.00007774,-0.99991592
1322933583.36465096,-0.01311491,0.00007617,-0.99991399
1322933583.42564273,-0.01309771,0.00011112,-0.99991422
1322933583.47357178,-0.01301406,0.00046161,-0.99991521
1322933583.52464318,-0.01317168,0.00054221,-0.99991310
1322933583.57388878,-0.01312097,0.00053647,-0.99991377
1322933583.62559891,-0.01320519,0.00059877,-0.99991263
1322933583.67265487,-0.01322041,0.00058366,-0.99991244
1322933583.72460485,-0.01310428,0.00067901,-0.99991390
1322933583.76465034,-0.01316685,0.00067144,-0.99991309
1322933583.82565093,-0.01305549,0.00073851,-0.99991450
1322933583.87264323,-0.01281579,0.00096827,-0.99991741
1322933583.92465711,-0.01269007,0.00079569,-0.99991916
1322933583.96221042,-0.01271925,0.00061626,-0.99991892
1322933584.01347852,-0.01274691,0.00045191,-0.99991865
1322933584.07364869,-0.01239755,0.00035855,-0.99992308
1322933584.12454939,-0.01249193,0.00042847,-0.99992188
1322933584.17260051,-0.01263933,0.00039360,-0.99992004
1322933584.21356583,-0.01264472,0.00042825,-0.99991996
1322933584.27366352,-0.01250617,0.00016647,-0.99992178
1322933584.32464147,-0.01273434,-0.00008936,-0.99991891
1322933584.37264276,-0.01268071,0.00009023,-0.99991959
1322933584.42556429,-0.01247430,0.00006059,-0.99992219
1322933584.47264266,-0.01250342,0.00010366,-0.99992182
1322933584.52572083,-0.01250403,0.00003645,-0.99992182
1322933584.57366467,-0.01234801,0.00010436,-0.99992375
1322933584.62574482,-0.01239771,0.00001913,-0.99992315
1322933584.67264533,-0.01239390,-0.00018376,-0.99992318
1322933584.72455239,-0.01251637,-0.00014941,-0.99992166
1322933584.76465487,-0.01283752,-0.00018247,-0.99991758
1322933584.82572126,-0.01285820,0.00005195,-0.99991733
1322933584.87265778,-0.01273224,-0.00007946,-0.99991894
1322933584.92564583,-0.01241973,-0.00013117,-0.99992286
1322933584.96464658,-0.01226480,-0.00013463,-0.99992478
1322933585.02556515,-0.01219452,-0.00019038,-0.99992563
1322933585.06463265,-0.01209777,0.00000466,-0.99992682
1322933585.11258531,-0.01203531,-0.00022038,-0.99992755
1322933585.17256761,-0.01212599,-0.00043656,-0.99992638
1322933585.22564816,-0.01216751,-0.00046437,-0.99992587
1322933585.26464462,-0.01209133,-0.00034941,-0.99992684
1322933585.32564878,-0.01191686,-0.00039302,-0.99992891
1322933585.37278175,-0.01210513,-0.00060719,-0.99992655
1322933585.42567849,-0.01231937,-0.00068518,-0.99992388
1322933585.46573329,-0.01247181,-0.00058158,-0.99992205
1322933585.52464008,-0.01221609,-0.00060097,-0.99992520
1322933585.56462669,-0.01188765,-0.00029269,-0.99992930
1322933585.62469721,-0.01189803,-0.00046300,-0.99992911
1322933585.67264175,-0.01201672,-0.00016188,-0.99992778
1322933585.72465301,-0.01188360,-0.00005581,-0.99992939
1322933585.76570201,-0.01181907,-0.00005767,-0.99993015
1322933585.81367350,-0.01202796,-0.00004590,-0.99992766
1322933585.87260866,-0.01189076,0.00007064,-0.99992930
1322933585.91355729,-0.01222059,0.00016333,-0.99992531
1322933585.97254324,-0.01228924,-0.00000780,-0.99992448
1322933586.01265574,-0.01227827,-0.00000666,-0.99992462
1322933586.06464362,-0.01220174,-0.00010815,-0.99992555
1322933586.12464690,-0.01181332,-0.00019738,-0.99993020
1322933586.16637278,-0.01158799,-0.00025981,-0.99993282
1322933586.22464514,-0.01166691,-0.00037797,-0.99993187
1322933586.26463628,-0.01147089,-0.00044330,-0.99993411
1322933586.31254172,-0.01129106,-0.00045169,-0.99993615
1322933586.37265468,-0.01114674,-0.00045443,-0.99993777
1322933586.42464256,-0.01115110,-0.00057496,-0.99993766
1322933586.47359681,-0.01111181,-0.00069841,-0.99993802
1322933586.52464819,-0.01093485,-0.00065155,-0.99994000
1322933586.57336664,-0.01079122,-0.00077350,-0.99994147
1322933586.62465048,-0.01085362,-0.00094668,-0.99994065
1322933586.67265368,-0.01059145,-0.00095410,-0.99994345
1322933586.72554541,-0.01063432,-0.00107709,-0.99994287
1322933586.76683235,-0.01053131,-0.00113753,-0.99994390
1322933586.82469034,-0.01056390,-0.00123636,-0.99994344
1322933586.86500382,-0.01045916,-0.00136359,-0.99994437
1322933586.92465091,-0.01071594,-0.00139389,-0.99994161
1322933586.96565843,-0.01048121,-0.00163524,-0.99994373
1322933587.02564502,-0.01030256,-0.00171700,-0.99994545
1322933587.06207037,-0.01023793,-0.00179517,-0.99994598
1322933587.11352587,-0.01027937,-0.00156625,-0.99994594
1322933587.17264128,-0.01039806,-0.00166688,-0.99994455
1322933587.21261954,-0.01066189,-0.00178455,-0.99994157
1322933587.27264929,-0.01074673,-0.00170916,-0.99994079
1322933587.32564473,-0.01049455,-0.00159050,-0.99994367
1322933587.36683393,-0.01035434,-0.00152254,-0.99994523
1322933587.41361165,-0.01030053,-0.00155068,-0.99994575
1322933587.47364926,-0.01054795,-0.00132715,-0.99994349
1322933587.52567077,-0.01041496,-0.00138369,-0.99994481
1322933587.56565571,-0.01037615,-0.00139809,-0.99994519
1322933587.62463617,-0.01030208,-0.00125872,-0.99994614
1322933587.67263865,-0.01052760,-0.00128817,-0.99994375
1322933587.71264720,-0.01054829,-0.00113899,-0.99994372
1322933587.76464725,-0.01053194,-0.00105253,-0.99994398
1322933587.82540059,-0.01054986,-0.00117098,-0.99994366
1322933587.87367439,-0.01062831,-0.00129789,-0.99994268
1322933587.92453313,-0.01046961,-0.00124875,-0.99994441
1322933587.97263575,-0.01031767,-0.00131254,-0.99994591
1322933588.01253724,-0.01037735,-0.00151035,-0.99994501
1322933588.06690788,-0.01036056,-0.00152285,-0.99994517
1322933588.12465477,-0.01027446,-0.00150878,-0.99994608
1322933588.17252302,-0.01025850,-0.00165163,-0.99994602
1322933588.22564769,-0.01025545,-0.00139917,-0.99994643
1322933588.26555586,-0.01013964,-0.00119871,-0.99994787
1322933588.32564974,-0.01020667,-0.00125164,-0.99994713
1322933588.37264228,-0.01005902,-0.00119115,-0.99994870
1322933588.41354847,-0.01017211,-0.00111461,-0.99994764
1322933588.46567130,-0.01010190,-0.00095561,-0.99994852
1322933588.52554774,-0.01009780,-0.00082440,-0.99994868
1322933588.57261753,-0.01026530,-0.00091244,-0.99994689
1322933588.62454557,-0.00998047,-0.00091799,-0.99994977
1322933588.66577792,-0.00993099,-0.00089189,-0.99995029
1322933588.71265197,-0.01008377,-0.00096455,-0.99994869
1322933588.77264977,-0.01001775,-0.00112225,-0.99994919
1322933588.82554650,-0.01017852,-0.00116781,-0.99994752
1322933588.86653161,-0.01019920,-0.00143739,-0.99994695
1322933588.91364455,-0.01029550,-0.00161070,-0.99994570
1322933588.97253537,-0.01018409,-0.00161083,-0.99994684
1322933589.02457404,-0.01013133,-0.00193101,-0.99994681
1322933589.06461668,-0.00999683,-0.00169862,-0.99994859
1322933589.11276460,-0.01003317,-0.00175436,-0.99994813
1322933589.17365599,-0.01025583,-0.00185876,-0.99994568
1322933589.21367908,-0.01019578,-0.00195008,-0.99994612
1322933589.27354860,-0.01035024,-0.00199427,-0.99994445
1322933589.32465458,-0.01040938,-0.00191427,-0.99994399
1322933589.36464834,-0.01069403,-0.00222575,-0.99994034
1322933589.42464089,-0.01060826,-0.00213300,-0.99994146
1322933589.46565914,-0.01055265,-0.00212848,-0.99994205
1322933589.52464080,-0.01074232,-0.00224950,-0.99993977
1322933589.56565952,-0.01050154,-0.00221769,-0.99994240
1322933589.61265159,-0.01072990,-0.00222060,-0.99993997
1322933589.66451883,-0.01083719,-0.00202471,-0.99993923
1322933589.71264219,-0.01080485,-0.00207368,-0.99993948
1322933589.76572108,-0.01090080,-0.00232860,-0.99993787
1322933589.82565355,-0.01100007,-0.00238069,-0.99993666
1322933589.86568761,-0.01111631,-0.00238999,-0.99993536
1322933589.92566347,-0.01100980,-0.00252260,-0.99993621
1322933589.96572757,-0.01085097,-0.00256654,-0.99993783
1322933590.02564883,-0.01080858,-0.00254223,-0.99993835
1322933590.06567001,-0.01069305,-0.00269814,-0.99993919
1322933590.12463975,-0.01058858,-0.00285037,-0.99993988
1322933590.17365718,-0.01066104,-0.00295433,-0.99993881
1322933590.22465563,-0.01073093,-0.00307021,-0.99993771
1322933590.26568127,-0.01078024,-0.00291258,-0.99993765
1322933590.32565808,-0.01087948,-0.00295478,-0.99993645
1322933590.36565876,-0.01080408,-0.00306775,-0.99993693
1322933590.42566276,-0.01064464,-0.00303037,-0.99993875
1322933590.46573639,-0.01054760,-0.00314145,-0.99993944
1322933590.52567792,-0.01051627,-0.00322876,-0.99993949
1322933590.57265091,-0.01002942,-0.00313811,-0.99994478
1322933590.62455273,-0.00987015,-0.00325487,-0.99994599
1322933590.67368126,-0.00971365,-0.00305809,-0.99994815
1322933590.72565055,-0.00970999,-0.00329231,-0.99994744
1322933590.77354240,-0.00962860,-0.00302643,-0.99994906
1322933590.82566547,-0.00977303,-0.00282877,-0.99994824
1322933590.87367749,-0.00980728,-0.00283610,-0.99994789
1322933590.91365480,-0.01000941,-0.00279766,-0.99994599
1322933590.97255921,-0.00998117,-0.00266562,-0.99994663
1322933591.01364970,-0.00968067,-0.00254175,-0.99994991
1322933591.07365227,-0.00963237,-0.00282294,-0.99994962
1322933591.12566948,-0.00969980,-0.00256819,-0.99994966
1322933591.16302299,-0.00987484,-0.00285458,-0.99994717
1322933591.22571063,-0.00991669,-0.00300918,-0.99994630
1322933591.26559615,-0.01001855,-0.00315498,-0.99994484
1322933591.32455635,-0.01029480,-0.00323428,-0.99994178
1322933591.36617684,-0.01042997,-0.00299774,-0.99994111
1322933591.42573190,-0.01058788,-0.00311469,-0.99993910
1322933591.46619177,-0.01060553,-0.00285297,-0.99993969
1322933591.52565169,-0.01069445,-0.00282657,-0.99993882
1322933591.56558919,-0.01063300,-0.00299834,-0.99993897
1322933591.62469077,-0.01057938,-0.00291413,-0.99993979
1322933591.67368245,-0.01067031,-0.00302665,-0.99993849
1322933591.71338272,-0.01044110,-0.00304299,-0.99994086
1322933591.77367282,-0.01050844,-0.00315610,-0.99993980
1322933591.82464504,-0.01061441,-0.00316837,-0.99993865
1322933591.86581087,-0.01060648,-0.00306976,-0.99993904
1322933591.92561674,-0.01058359,-0.00303563,-0.99993938
1322933591.96557641,-0.01028247,-0.00314719,-0.99994218
1322933592.02573299,-0.01023825,-0.00335156,-0.99994197
1322933592.07764411,-0.01008431,-0.00322474,-0.99994395
1322933592.12464023,-0.00994194,-0.00342216,-0.99994472
1322933592.17368102,-0.00991141,-0.00332438,-0.99994535
1322933592.22566319,-0.01010423,-0.00288987,-0.99994478
1322933592.26560259,-0.01021943,-0.00263646,-0.99994430
1322933592.32555032,-0.01036288,-0.00251913,-0.99994313
1322933592.36495280,-0.01028326,-0.00265686,-0.99994360
1322933592.41663885,-0.01020881,-0.00271649,-0.99994420
1322933592.47364759,-0.00990630,-0.00287061,-0.99994681
1322933592.51766682,-0.00988032,-0.00275027,-0.99994741
1322933592.56464767,-0.00998986,-0.00237086,-0.99994729
1322933592.61371803,-0.00986272,-0.00237006,-0.99994855
1322933592.67371917,-0.01000389,-0.00244906,-0.99994696
1322933592.71365905,-0.01004546,-0.00283335,-0.99994553
1322933592.76571894,-0.01027504,-0.00276659,-0.99994338
1322933592.81774449,-0.01027521,-0.00256760,-0.99994391
1322933592.86457801,-0.01024629,-0.00257878,-0.99994418
1322933592.92555141,-0.01040012,-0.00263767,-0.99994244
1322933592.96571922,-0.01004881,-0.00260546,-0.99994612
1322933593.01364517,-0.01008750,-0.00283470,-0.99994510
1322933593.07770514,-0.00992831,-0.00280753,-0.99994677
1322933593.11364532,-0.00996903,-0.00310469,-0.99994549
1322933593.16605735,-0.01006623,-0.00315847,-0.99994435
1322933593.22465253,-0.01017765,-0.00318322,-0.99994314
1322933593.26691246,-0.01018382,-0.00320636,-0.99994300
1322933593.32463574,-0.01011388,-0.00305310,-0.99994419
1322933593.37654877,-0.01006401,-0.00298021,-0.99994492
1322933593.41665649,-0.01013306,-0.00282750,-0.99994466
1322933593.46572709,-0.01004653,-0.00301313,-0.99994499
1322933593.51664114,-0.01005218,-0.00305184,-0.99994482
1322933593.56451988,-0.00977036,-0.00318205,-0.99994721
1322933593.61771035,-0.00986714,-0.00312376,-0.99994644
1322933593.67323518,-0.00982450,-0.00306640,-0.99994704
1322933593.72457671,-0.01013228,-0.00302376,-0.99994410
1322933593.77771568,-0.00993206,-0.00316770,-0.99994566
1322933593.81664038,-0.00971213,-0.00321248,-0.99994768
1322933593.86661673,-0.00949085,-0.00306167,-0.99995027
1322933593.92464280,-0.00978866,-0.00291772,-0.99994783
1322933593.96621275,-0.01005148,-0.00323938,-0.99994424
1322933594.02464056,-0.01018240,-0.00334674,-0.99994256
1322933594.07369447,-0.00999973,-0.00338155,-0.99994428
1322933594.11360788,-0.01009877,-0.00358414,-0.99994258
