Time_in_sec,Mx,My,Mz
1322934169.41665435,-0.41033730,-0.26479477,-0.86558878
1322934169.46468830,-0.41183278,-0.26341274,-0.86315060
1322934169.52459502,-0.41297463,-0.26311320,-0.86628598
1322934169.56459355,-0.41302142,-0.26226857,-0.86242700
1322934169.61765695,-0.41208759,-0.26366580,-0.86289656
1322934169.66568851,-0.41171166,-0.26452431,-0.86580294
1322934169.71655369,-0.41350225,-0.26540983,-0.86403167
1322934169.76457357,-0.41301355,-0.26735008,-0.86065477
1322934169.81765556,-0.41174358,-0.26353166,-0.86394489
1322934169.86559010,-0.41309372,-0.26430145,-0.86161578
1322934169.91332507,-0.41053978,-0.26354122,-0.86427593
1322934169.96526575,-0.41222402,-0.26366425,-0.86290443
1322934170.01351857,-0.41239446,-0.26138121,-0.86319798
1322934170.06465602,-0.41242570,-0.26557049,-0.86196810
1322934170.12567592,-0.41212484,-0.26504892,-0.86368865
1322934170.16464686,-0.41176456,-0.26188463,-0.86409175
1322934170.21656394,-0.41020691,-0.26504797,-0.86571276
1322934170.26454663,-0.41394275,-0.26653659,-0.86471540
1322934170.31665039,-0.41224220,-0.26543015,-0.86342579
1322934170.36465526,-0.41385025,-0.26503769,-0.86298740
1322934170.42456198,-0.41293234,-0.26440966,-0.86347294
1322934170.46464658,-0.41329032,-0.26277176,-0.86243868
1322934170.51340890,-0.41340280,-0.26275021,-0.86431259
1322934170.56636786,-0.41338384,-0.26720190,-0.86227763
1322934170.61755991,-0.41225019,-0.26441753,-0.86343384
1322934170.66465068,-0.41413906,-0.26300928,-0.86301905
1322934170.72455406,-0.41118282,-0.26442555,-0.86377269
1322934170.76566434,-0.41389230,-0.26275468,-0.86340696
1322934170.81665468,-0.41126603,-0.26200828,-0.86486250
1322934170.86572051,-0.41356942,-0.26605344,-0.86296374
1322934170.91657352,-0.41157407,-0.26467705,-0.86352652
1322934170.96470642,-0.41405290,-0.26375955,-0.86394215
1322934171.02459836,-0.41161218,-0.26391143,-0.86406791
1322934171.06454945,-0.41099912,-0.26329869,-0.86283696
1322934171.11654973,-0.41214794,-0.26517090,-0.86408919
1322934171.16649771,-0.41475439,-0.26741320,-0.86475539
1322934171.21656585,-0.41146487,-0.26631641,-0.86417490
1322934171.26562381,-0.41223341,-0.26654479,-0.86568439
1322934171.31332898,-0.41441298,-0.26389065,-0.86316156
1322934171.36593866,-0.41252992,-0.26456401,-0.86131471
1322934171.41676974,-0.41269562,-0.26390037,-0.86399668
1322934171.46672344,-0.41274658,-0.26252490,-0.86240935
1322934171.51653671,-0.41087270,-0.26304558,-0.86296493
1322934171.56667781,-0.41423738,-0.26377332,-0.86248547
1322934171.62452984,-0.41318712,-0.26160496,-0.86510903
