Time_in_sec,Mx,My,Mz
1322933578.26565409,-0.47506201,-0.03885519,-0.80389434
1322933578.32456756,-0.47670180,-0.04462502,-0.80701298
1322933578.36553359,-0.47340977,-0.03875059,-0.80353367
1322933578.42453671,-0.47686008,-0.04388547,-0.80502689
1322933578.47310996,-0.47497475,-0.03770988,-0.80456477
1322933578.52568078,-0.47676951,-0.04112231,-0.80317503
1322933578.56556320,-0.47483820,-0.03874710,-0.80241519
1322933578.62456846,-0.47539160,-0.04591880,-0.80572784
1322933578.66465306,-0.47634816,-0.03857709,-0.80490375
1322933578.72464442,-0.47484890,-0.04349867,-0.80771542
1322933578.77251863,-0.47424847,-0.03924283,-0.80397820
1322933578.82555771,-0.47562283,-0.03897239,-0.80419236
1322933578.87256312,-0.47553954,-0.03732078,-0.80486679
1322933578.91367030,-0.47523558,-0.03821458,-0.80444258
1322933578.96571279,-0.47689047,-0.04511899,-0.80795377
1322933579.02454257,-0.47795278,-0.04473281,-0.80748403
1322933579.06454086,-0.47538623,-0.04048523,-0.80496776
1322933579.12455082,-0.47657138,-0.04487821,-0.80713701
1322933579.17365479,-0.47478014,-0.03898645,-0.80374384
1322933579.21355319,-0.47511822,-0.03783335,-0.80470544
1322933579.27256346,-0.47405341,-0.04363008,-0.80806899
1322933579.32454228,-0.47498879,-0.04000667,-0.80281454
1322933579.36629796,-0.47530168,-0.03797369,-0.80324775
1322933579.42568111,-0.47561529,-0.04400474,-0.80695534
1322933579.47254324,-0.47399873,-0.03936795,-0.80436307
1322933579.52464795,-0.47607711,-0.03835165,-0.80262250
1322933579.56564760,-0.47669017,-0.03896439,-0.80385345
1322933579.62464857,-0.47289273,-0.04224116,-0.80894643
1322933579.66565990,-0.47593188,-0.03641007,-0.80676335
1322933579.71265364,-0.47508964,-0.04350166,-0.80719572
1322933579.77257490,-0.47598556,-0.04590328,-0.80656224
1322933579.81364822,-0.47531390,-0.04049907,-0.80376315
1322933579.87256169,-0.47443447,-0.04416084,-0.80541933
1322933579.91364813,-0.47564998,-0.03959912,-0.80472273
1322933579.97251892,-0.47743309,-0.04347027,-0.80773038
1322933580.02456284,-0.47668427,-0.04073493,-0.80397332
1322933580.06565237,-0.47696006,-0.03934097,-0.80386615
1322933580.12465143,-0.47720739,-0.04563748,-0.80650091
1322933580.16464686,-0.47576225,-0.03859108,-0.80420321
1322933580.21264529,-0.47461915,-0.04210332,-0.80824620
1322933580.26567578,-0.47772121,-0.04662384,-0.80839026
1322933580.32566118,-0.47421876,-0.04301557,-0.80621576
1322933580.36564851,-0.47615069,-0.04225554,-0.80433154
1322933580.42464089,-0.47614294,-0.04119688,-0.80860704
1322933580.46565247,-0.47520050,-0.03961153,-0.80403000
1322933580.52629542,-0.47675088,-0.04552486,-0.80567533
1322933580.56573582,-0.47566107,-0.03717114,-0.80687553
1322933580.61257148,-0.47497120,-0.04529372,-0.80544168
1322933580.66464281,-0.47414488,-0.04424452,-0.80967015
1322933580.72457218,-0.47579286,-0.04285783,-0.80750757
1322933580.77257252,-0.47541216,-0.04025203,-0.80310374
1322933580.82453465,-0.47516644,-0.04088191,-0.80361849
1322933580.87366176,-0.47657183,-0.03870974,-0.80411536
1322933580.92465258,-0.47474301,-0.03962548,-0.80320340
1322933580.96461678,-0.47494763,-0.03809423,-0.80416024
1322933581.01264501,-0.47593141,-0.04462525,-0.80776906
1322933581.07253361,-0.47698182,-0.04676906,-0.80741316
1322933581.12464833,-0.47510937,-0.04099469,-0.80494809
1322933581.16228390,-0.47574818,-0.03834100,-0.80393749
1322933581.22567654,-0.47686136,-0.04269870,-0.80943727
1322933581.26646256,-0.47532198,-0.03845082,-0.80591291
1322933581.32564950,-0.47662547,-0.04514517,-0.80580431
1322933581.37368774,-0.47297844,-0.03747114,-0.80525237
1322933581.42464375,-0.47518244,-0.03986776,-0.80376029
1322933581.47257185,-0.47566780,-0.03835637,-0.80259901
1322933581.52556396,-0.47340670,-0.03811925,-0.80340481
1322933581.57257175,-0.47517228,-0.03810030,-0.80337280
1322933581.62564731,-0.47396037,-0.03914704,-0.80142826
1322933581.66227007,-0.47546721,-0.03733461,-0.80366212
1322933581.72464108,-0.47657362,-0.04561158,-0.80953246
1322933581.76466155,-0.47527266,-0.03962226,-0.80296707
1322933581.82465935,-0.47442260,-0.04464412,-0.80754906
1322933581.86564755,-0.47526580,-0.03947266,-0.80510181
1322933581.91264582,-0.47589228,-0.04551744,-0.80722666
1322933581.96564794,-0.47581503,-0.04411744,-0.80803293
1322933582.02464461,-0.47531220,-0.03969203,-0.80817050
1322933582.06230044,-0.47440901,-0.03923664,-0.80438757
1322933582.12465358,-0.47500223,-0.04339200,-0.80572438
1322933582.17369628,-0.47546339,-0.03781636,-0.80592573
1322933582.22564149,-0.47472993,-0.03924883,-0.80293876
1322933582.26679182,-0.47636107,-0.03897831,-0.80290085
1322933582.32452965,-0.47765288,-0.04613138,-0.80718964
1322933582.37302065,-0.47519541,-0.03822226,-0.80377334
1322933582.41367793,-0.47394851,-0.03963032,-0.80355799
1322933582.47276878,-0.47557437,-0.04512552,-0.80867851
1322933582.52464342,-0.47593179,-0.04050349,-0.80273151
1322933582.57254338,-0.47547629,-0.03821758,-0.80392283
1322933582.61264539,-0.47594485,-0.03782236,-0.80488628
1322933582.67355609,-0.47471261,-0.04552239,-0.80795932
1322933582.72222900,-0.47554067,-0.03921635,-0.80511945
1322933582.77260017,-0.47657967,-0.03873277,-0.80198157
1322933582.82452893,-0.47456342,-0.04001448,-0.80252337
1322933582.86556506,-0.47480610,-0.03670653,-0.80389571
1322933582.92465472,-0.47401443,-0.04654442,-0.80777830
1322933582.97300196,-0.47504500,-0.03693812,-0.80564153
1322933583.02453661,-0.47443396,-0.03913002,-0.80252254
1322933583.07265711,-0.47602797,-0.03949853,-0.80194426
1322933583.11365414,-0.47582942,-0.03923469,-0.80313522
1322933583.17251635,-0.47604373,-0.04462829,-0.80737537
1322933583.21351790,-0.47507718,-0.03998977,-0.80428690
1322933583.27257729,-0.47616625,-0.04435207,-0.80938512
1322933583.32465363,-0.47472402,-0.04101937,-0.80305856
1322933583.36464953,-0.47452715,-0.03850478,-0.80173224
1322933583.42564130,-0.47538668,-0.04450497,-0.80773878
1322933583.47357011,-0.47550952,-0.03909593,-0.80458510
1322933583.52464151,-0.47507599,-0.04014090,-0.80201828
