Time_in_sec,Mx,My,Mz
1322942822.47265363,0.08883651,0.07185195,-0.81492859
1322942822.52072024,0.09061305,0.07590950,-0.81871313
1322942822.57362700,0.08817646,0.07034448,-0.81482214
1322942822.61012006,0.08848135,0.07020909,-0.81427187
1322942822.67372370,0.08820482,0.07288267,-0.81630194
1322942822.72054863,0.08988724,0.07245188,-0.81314451
1322942822.77002525,0.08650555,0.07122800,-0.81319565
1322942822.81357598,0.08844955,0.07223051,-0.81455463
1322942822.87263870,0.08912643,0.07159347,-0.81464416
1322942822.92064381,0.08928576,0.07375318,-0.81624663
1322942822.97335887,0.08855794,0.07377017,-0.81708616
1322942823.02060294,0.08874045,0.07184588,-0.81426919
1322942823.07364988,0.08950343,0.07146874,-0.81515354
1322942823.12168193,0.08852060,0.07135966,-0.81574076
1322942823.17370296,0.08925732,0.07020734,-0.81489229
1322942823.22065067,0.08918554,0.07122874,-0.81596768
1322942823.26969504,0.08766249,0.07059692,-0.81432152
1322942823.32164550,0.08991802,0.07377892,-0.81926882
1322942823.37357783,0.08806252,0.07160141,-0.81430614
1322942823.42167258,0.08763761,0.07173531,-0.81459731
1322942823.46967125,0.08614304,0.07165077,-0.81694245
1322942823.52063560,0.08549369,0.06973892,-0.81443906
1322942823.57264304,0.08708061,0.07035852,-0.81501782
1322942823.62169433,0.08713947,0.06996939,-0.81408083
1322942823.66068411,0.08954579,0.07425617,-0.81636852
1322942823.72169042,0.08975752,0.07272861,-0.81528133
1322942823.76968288,0.09039157,0.07348531,-0.81591552
1322942823.82056594,0.08750294,0.07264277,-0.81673914
1322942823.86965513,0.08807050,0.07159988,-0.81417269
1322942823.92169428,0.08935840,0.07059032,-0.81542122
1322942823.96964645,0.08680561,0.06973244,-0.81516182
1322942824.02164960,0.08860440,0.07083979,-0.81440246
1322942824.07349443,0.08824454,0.06985206,-0.81601125
1322942824.12056160,0.08925322,0.07592514,-0.81879091
1322942824.17263722,0.08837571,0.07249655,-0.81575745
1322942824.21330070,0.08984718,0.07044421,-0.81406260
1322942824.27265406,0.08866675,0.07412723,-0.81522113
1322942824.32166910,0.08686771,0.07299548,-0.81371993
1322942824.37264156,0.08737667,0.07236612,-0.81435102
1322942824.40965343,0.08833975,0.07199959,-0.81642061
1322942824.47252083,0.08954151,0.07372871,-0.81423742
1322942824.52067518,0.08877232,0.07083212,-0.81386095
1322942824.57366991,0.08851908,0.07465931,-0.81762683
1322942824.62167072,0.08886838,0.07083819,-0.81452036
1322942824.66167521,0.08785969,0.07199363,-0.81538433
1322942824.72165036,0.09064552,0.07272988,-0.81629431
1322942824.76991463,0.08874441,0.07134129,-0.81426525
1322942824.82164621,0.08714183,0.07175680,-0.81608838
1322942824.87357354,0.08756246,0.07109544,-0.81366611
1322942824.92165399,0.08973784,0.07326066,-0.81781268
1322942824.97364497,0.08778282,0.07163046,-0.81671566
1322942825.02158546,0.08658855,0.06985103,-0.81424439
1322942825.07263494,0.08777854,0.07110300,-0.81458455
1322942825.12164760,0.08730064,0.06986149,-0.81593227
1322942825.17264748,0.08788654,0.07060295,-0.81510651
1322942825.22165442,0.08835526,0.06894918,-0.81426966
1322942825.27355433,0.08889470,0.07262102,-0.81612760
1322942825.31264043,0.08874039,0.07083823,-0.81439471
1322942825.36983633,0.09119143,0.07247133,-0.81626117
1322942825.41298437,0.08969477,0.07462999,-0.81609684
1322942825.46898389,0.08746983,0.07375829,-0.81488788
1322942825.51264048,0.08803058,0.07160752,-0.81483984
1322942825.57358265,0.09068293,0.07614805,-0.81751424
1322942825.62164688,0.08913455,0.07360726,-0.81425977
1322942825.66167498,0.08725690,0.07238903,-0.81635243
1322942825.72165227,0.08773275,0.07287518,-0.81513220
1322942825.77386451,0.08759843,0.07159240,-0.81300294
1322942825.82166910,0.08685160,0.07098322,-0.81423777
1322942825.87252402,0.08854759,0.07198428,-0.81521201
1322942825.92058134,0.08900864,0.07136408,-0.81664360
1322942825.96993494,0.08657883,0.07012925,-0.81664032
1322942826.02164936,0.08875635,0.07083517,-0.81412780
1322942826.06965280,0.08941337,0.07171344,-0.81436276
1322942826.12055564,0.08824362,0.07098587,-0.81588674
1322942826.17357087,0.08670227,0.07279965,-0.81878048
1322942826.22155285,0.08829357,0.07173207,-0.81495869
1322942826.26948619,0.08870350,0.07147507,-0.81493336
1322942826.32064247,0.08880048,0.07034734,-0.81571722
1322942826.37276196,0.08913138,0.07096273,-0.81463921
1322942826.41264009,0.09013741,0.07121778,-0.81591320
1322942826.47274923,0.08847983,0.07350875,-0.81615794
1322942826.52067089,0.08992589,0.07576830,-0.81662393
1322942826.56966829,0.08938038,0.07083804,-0.81502295
1322942826.62083316,0.08623984,0.07150629,-0.81534028
1322942826.66169024,0.08893561,0.07248724,-0.81545949
1322942826.71267390,0.08983965,0.07349310,-0.81608009
