Time_in_sec,Mx,My,Mz
1322936457.76852179,-0.26509035,-0.16781083,-0.83985883
1322936457.82056880,-0.26280078,-0.16833691,-0.84012270
1322936457.86156869,-0.26241896,-0.16607161,-0.84025061
1322936457.92056394,-0.26265433,-0.16454098,-0.84173667
1322936457.96057343,-0.26382077,-0.16670133,-0.83886468
1322936458.02166700,-0.26388642,-0.16543040,-0.83980775
1322936458.06166220,-0.26187152,-0.16557528,-0.84009016
1322936458.12066031,-0.26591817,-0.16414976,-0.83966756
1322936458.16157508,-0.26408738,-0.16531497,-0.83862448
1322936458.20900702,-0.26563206,-0.16287285,-0.84152055
1322936458.26166749,-0.26555201,-0.16706520,-0.83842939
1322936458.30956841,-0.26130712,-0.16100657,-0.84367865
1322936458.36855578,-0.26525331,-0.16543761,-0.83776021
1322936458.40879512,-0.26398531,-0.16405170,-0.83902657
1322936458.46057224,-0.26448706,-0.16631849,-0.83863986
1322936458.51257229,-0.26102847,-0.16508664,-0.83951432
1322936458.56056833,-0.26457965,-0.16567160,-0.84011120
1322936458.62056375,-0.26555538,-0.16351670,-0.84031576
1322936458.66054058,-0.26256165,-0.16418119,-0.84013993
1322936458.70857120,-0.26355097,-0.16544572,-0.83872575
1322936458.76852894,-0.26180026,-0.16342525,-0.84089917
1322936458.82055736,-0.26554301,-0.16618606,-0.83816975
1322936458.86853957,-0.26427507,-0.16580684,-0.83956146
1322936458.92057085,-0.26215175,-0.16441357,-0.84237313
1322936458.96060038,-0.26470268,-0.16730836,-0.84010607
1322936459.02073479,-0.26390791,-0.16464685,-0.84233886
1322936459.06852293,-0.26373264,-0.16568705,-0.83953136
1322936459.10945392,-0.26269916,-0.16810468,-0.83839166
1322936459.16854644,-0.26280361,-0.16594547,-0.83987498
1322936459.21367955,-0.26488459,-0.16556069,-0.83840251
1322936459.26055312,-0.26573130,-0.16652757,-0.84136623
1322936459.30969787,-0.26291648,-0.16481577,-0.83935839
1322936459.36057115,-0.26328227,-0.16607745,-0.83883858
1322936459.42057037,-0.26312384,-0.16178045,-0.84018987
1322936459.46167135,-0.26388240,-0.16492783,-0.83967841
1322936459.52056956,-0.26373011,-0.16289471,-0.84141177
1322936459.56165314,-0.26302058,-0.16683367,-0.83908367
1322936459.60955310,-0.26401430,-0.16543037,-0.83968222
1322936459.66165638,-0.26420292,-0.16478953,-0.84049481
1322936459.70964170,-0.26580721,-0.16402073,-0.84006071
1322936459.76168036,-0.26560366,-0.16453859,-0.83898252
1322936459.80967021,-0.26404265,-0.16275795,-0.84209484
1322936459.86055994,-0.26615793,-0.16314606,-0.83902448
1322936459.91352034,-0.26357618,-0.16113801,-0.84088469
1322936459.96164250,-0.26511604,-0.16453417,-0.83988458
1322936460.01346207,-0.26367679,-0.16469105,-0.83847284
1322936460.06166744,-0.26533300,-0.16542237,-0.83909333
1322936460.10967517,-0.26548859,-0.16290028,-0.83912092
1322936460.16167879,-0.26453671,-0.16404393,-0.83919096
1322936460.20964336,-0.26391110,-0.16227975,-0.83983254
1322936460.26054764,-0.26340768,-0.16429174,-0.84071881
1322936460.31356215,-0.26346770,-0.16279463,-0.83927202
1322936460.36851645,-0.26469702,-0.16288073,-0.84173280
