Time_in_sec,Latitude,Longitude,Altitude,Nbsat_max_qualitysignal,Nbsat_locked,valid_data
1322932809.92175269,-0.00014471,0.00004762,1457.20422363,1,2,0
1322933053.17263722,-0.00010023,0.00004381,1461.44909668,0,1,0
1322933053.22452283,-0.00010015,0.00004380,1461.36621094,0,1,0
1322933053.27265120,-0.00010022,0.00004381,1461.28381348,0,1,0
1322933053.32454038,-0.00010014,0.00004379,1461.20092773,0,1,0
1322933053.37263417,-0.00010021,0.00004380,1461.11853027,0,1,0
1322933053.42164040,-0.00010013,0.00004379,1461.03552246,0,1,0
1322933053.47364378,-0.00010020,0.00004380,1460.95300293,0,1,0
1322933053.52167821,-0.00010012,0.00004378,1460.86987305,0,1,0
1322933053.57366943,-0.00010020,0.00004380,1460.78735352,0,1,0
1322933053.62168002,-0.00010012,0.00004378,1460.70422363,0,1,0
1322933053.67264199,-0.00010019,0.00004379,1460.62158203,0,1,0
1322933053.72611165,-0.00010011,0.00004377,1460.53833008,0,1,0
1322933053.77263474,-0.00010018,0.00004379,1460.45556641,0,1,0
1322933053.82154942,-0.00010010,0.00004377,1460.37219238,0,1,0
1322933053.87264848,-0.00010017,0.00004378,1460.28942871,0,1,0
1322933053.92463493,-0.00010009,0.00004377,1460.20593262,0,1,0
1322933053.97264171,-0.00010016,0.00004378,1460.12304688,0,1,0
1322933054.02463675,-0.00010008,0.00004376,1460.03955078,0,1,0
1322933054.07264256,-0.00010016,0.00004377,1459.95666504,0,1,0
1322933054.12566471,-0.00010008,0.00004376,1459.87304688,0,1,0
1322933054.17367506,-0.00010015,0.00004377,1459.79003906,0,1,0
1322933054.22166252,-0.00010007,0.00004375,1459.70629883,0,1,0
1322933054.27263713,-0.00010014,0.00004377,1459.62316895,0,1,0
1322933054.32151985,-0.00010006,0.00004375,1459.53942871,0,1,0
1322933054.37268615,-0.00010013,0.00004376,1459.45629883,0,1,0
1322933054.42566681,-0.00010005,0.00004374,1459.37243652,0,1,0
1322933054.47366500,-0.00010012,0.00004376,1459.28918457,0,1,0
1322933054.52451849,-0.00010004,0.00004374,1459.20532227,0,1,0
1322933054.57264781,-0.00010012,0.00004375,1459.12194824,0,1,0
1322933054.62463784,-0.00010004,0.00004374,1459.03796387,0,1,0
1322933054.67255020,-0.00010011,0.00004375,1458.95446777,0,1,0
1322933054.72171545,-0.00010003,0.00004373,1458.87048340,0,1,0
1322933054.77264714,-0.00010010,0.00004374,1458.78698730,0,1,0
1322933054.82554197,-0.00010002,0.00004373,1458.70288086,0,1,0
1322933054.87364268,-0.00010009,0.00004374,1458.61926270,0,1,0
1322933054.92169356,-0.00010001,0.00004372,1458.53503418,0,1,0
1322933054.97263551,-0.00010008,0.00004374,1458.45141602,0,1,0
1322933055.02176189,-0.00010000,0.00004372,1458.36718750,0,1,0
1322933055.07265019,-0.00010008,0.00004373,1458.28356934,0,1,0
1322933055.12143183,-0.00010000,0.00004371,1458.19921875,0,1,0
1322933055.17263699,-0.00010007,0.00004373,1458.11547852,0,1,0
1322933055.22451568,-0.00009999,0.00004371,1458.03112793,0,1,0
1322933055.27263808,-0.00010006,0.00004372,1457.94738770,0,1,0
1322933055.32464886,-0.00009998,0.00004370,1457.86291504,0,1,0
1322933055.37264490,-0.00010005,0.00004372,1457.77905273,0,1,0
