Time_in_sec,Mx,My,Mz
1322934322.36591053,0.11310908,-0.22317782,-0.88938046
1322934322.42453170,0.11330245,-0.22531432,-0.89095402
1322934322.46521354,0.11234175,-0.22254625,-0.88849550
1322934322.51662278,0.11377013,-0.22356081,-0.88973987
1322934322.56478167,0.11059585,-0.22604534,-0.89083689
1322934322.61692786,0.11101524,-0.22529368,-0.89055175
1322934322.66464019,0.11216003,-0.22392625,-0.88942927
1322934322.71654797,0.11129116,-0.22466549,-0.89040720
1322934322.76452756,0.11091487,-0.22681564,-0.89014602
1322934322.81669950,0.11269872,-0.22405759,-0.88953084
1322934322.86464047,0.11025190,-0.22516842,-0.88966280
1322934322.91751671,0.11356141,-0.22559211,-0.88893640
1322934322.96464276,0.11252603,-0.22556572,-0.89032972
1322934323.01653767,0.11201948,-0.22544052,-0.88969284
1322934323.06465244,0.11115683,-0.22595271,-0.88827127
1322934323.12465382,0.10973234,-0.22440881,-0.88916475
1322934323.16565442,0.11212084,-0.22404514,-0.89009756
1322934323.21768022,0.11147667,-0.22682503,-0.88984698
1322934323.26523089,0.11036498,-0.22627847,-0.89244896
1322934323.31767273,0.11307979,-0.22557355,-0.89016455
1322934323.36452174,0.11198147,-0.22571054,-0.88809246
1322934323.41765761,0.11323030,-0.22532505,-0.88989103
1322934323.46527052,0.11186804,-0.22455136,-0.88984150
1322934323.52498269,0.11091401,-0.22466692,-0.88989532
1322934323.56556582,0.11020282,-0.22301047,-0.89021522
1322934323.61767292,0.11018157,-0.22540773,-0.89086545
1322934323.66615510,0.11309281,-0.22620797,-0.89002573
1322934323.71664190,0.11182992,-0.22378576,-0.89038289
1322934323.76498151,0.11049074,-0.22594790,-0.88804275
1322934323.82464290,0.11448038,-0.22407961,-0.88929516
1322934323.86526322,0.11217119,-0.22228536,-0.88904077
1322934323.91654873,0.11010624,-0.22807196,-0.89018297
1322934323.96453643,0.11270133,-0.22744599,-0.89217293
1322934324.01765800,0.10913540,-0.22401355,-0.89000213
1322934324.06460285,0.11346605,-0.22468917,-0.89041579
1322934324.11664128,0.11082685,-0.22379006,-0.88897324
1322934324.16453624,0.11273162,-0.22517683,-0.89138788
1322934324.21801829,0.11198634,-0.22530779,-0.89022923
1322934324.26608157,0.11159318,-0.22429506,-0.88985914
1322934324.31759691,0.11140554,-0.22390454,-0.89067310
1322934324.36464071,0.11172337,-0.22758149,-0.89036071
1322934324.42472696,0.11108447,-0.22389215,-0.89149183
1322934324.46472335,0.11025196,-0.22415735,-0.88953692
1322934324.51665235,0.11024280,-0.22605139,-0.88992345
1322934324.56453109,0.11149766,-0.22847205,-0.88970011
1322934324.62555718,0.11033308,-0.22528581,-0.89059091
1322934324.66643763,0.11203369,-0.22316828,-0.88917542
1322934324.72523475,0.11328539,-0.22518466,-0.89122272
1322934324.76473927,0.11268594,-0.22243665,-0.88727623
1322934324.82454515,0.11173652,-0.22619376,-0.88997018
1322934324.86469555,0.11251836,-0.22255550,-0.88781846
1322934324.91754198,0.11027886,-0.22757491,-0.88950992
1322934324.96486998,0.11234238,-0.22568148,-0.89113969
1322934325.01765919,0.11086977,-0.22516400,-0.89069444
1322934325.06528091,0.11220612,-0.22570448,-0.88887990
1322934325.11665106,0.11395958,-0.22417994,-0.89119154
1322934325.16452622,0.11143855,-0.22605941,-0.89038837
1322934325.21764636,0.11206666,-0.22327645,-0.89090663
1322934325.26470399,0.11150784,-0.22364680,-0.89120269
1322934325.32469821,0.11135538,-0.22568887,-0.88946229
1322934325.36469007,0.11302000,-0.22103673,-0.88833451
1322934325.41759682,0.11097712,-0.22452807,-0.89109313
1322934325.46469927,0.11015647,-0.22527654,-0.89126796
1322934325.52464867,0.11189812,-0.22531544,-0.88943398
1322934325.56505847,0.11215305,-0.22304021,-0.88943630
1322934325.61655426,0.11158203,-0.22593595,-0.89024770
1322934325.66459656,0.11293316,-0.22529273,-0.89257586
1322934325.71659112,0.11301053,-0.22492836,-0.89124036
1322934325.76451373,0.11321241,-0.22509338,-0.88789314
1322934325.81673336,0.11045443,-0.22541089,-0.89084977
1322934325.86464119,0.11026698,-0.22504492,-0.88939607
1322934325.91754079,0.11095425,-0.22366352,-0.88910025
1322934325.96451068,0.11077857,-0.22479191,-0.88990217
1322934326.01658201,0.11191133,-0.22291663,-0.88891757
1322934326.06646824,0.11073551,-0.22544014,-0.88843262
1322934326.11661935,0.11225141,-0.22432289,-0.88795394
1322934326.16469097,0.10988964,-0.22502178,-0.89115179
1322934326.21679664,0.11016674,-0.22454472,-0.88873869
1322934326.26453161,0.11258733,-0.22519828,-0.88926196
1322934326.31650996,0.11051768,-0.22324990,-0.89179587
1322934326.36453438,0.11019981,-0.22568853,-0.88832814
1322934326.41757727,0.11103736,-0.22504514,-0.89015222
1322934326.46473312,0.11051474,-0.22491688,-0.88978297
1322934326.52453065,0.11380725,-0.22419985,-0.88919950
1322934326.56557512,0.11253028,-0.22202772,-0.88982236
1322934326.61768031,0.11158109,-0.22479829,-0.89012289
1322934326.66683936,0.11083476,-0.22581376,-0.88909107
1322934326.71738505,0.11183882,-0.22593603,-0.89049971
1322934326.76566195,0.10894774,-0.22668082,-0.88892603
1322934326.81752610,0.11115878,-0.22415915,-0.89028519
