Time_in_sec,Latitude,Longitude,Altitude,Nbsat_max_qualitysignal,Nbsat_locked,valid_data
1322939684.02005649,-0.00000605,0.00006056,-315078.71875000,0,0,0
1322940552.06584859,-0.00000624,0.00006949,-401238.18750000,0,0,0
1322940552.11663079,-0.00000623,0.00006961,-401243.46875000,0,0,0
1322940552.16570115,-0.00000624,0.00006949,-401248.71875000,0,0,0
1322940552.21657872,-0.00000623,0.00006961,-401254.00000000,0,0,0
1322940552.26964927,-0.00000624,0.00006949,-401259.25000000,0,0,0
1322940552.31652236,-0.00000622,0.00006961,-401264.50000000,0,0,0
1322940552.36563611,-0.00000624,0.00006949,-401269.78125000,0,0,0
1322940552.41654086,-0.00000622,0.00006961,-401275.03125000,0,0,0
1322940552.46864462,-0.00000624,0.00006949,-401280.31250000,0,0,0
1322940552.51651764,-0.00000622,0.00006961,-401285.56250000,0,0,0
1322940552.56964970,-0.00000624,0.00006949,-401290.81250000,0,0,0
1322940552.61651897,-0.00000622,0.00006962,-401296.09375000,0,0,0
1322940552.66563416,-0.00000624,0.00006949,-401301.34375000,0,0,0
1322940552.72863460,-0.00000622,0.00006962,-401306.62500000,0,0,0
1322940552.76566076,-0.00000622,0.00006962,-401312.93750000,0,0,0
1322940552.81653333,-0.00000622,0.00006962,-401317.12500000,0,0,0
1322940552.86964989,-0.00000624,0.00006949,-401322.40625000,0,0,0
1322940552.92963672,-0.00000622,0.00006962,-401327.65625000,0,0,0
1322940552.96563554,-0.00000622,0.00006962,-401333.96875000,0,0,0
1322940553.01660895,-0.00000622,0.00006962,-401338.18750000,0,0,0
1322940553.06564689,-0.00000624,0.00006950,-401343.43750000,0,0,0
1322940553.12565112,-0.00000622,0.00006962,-401348.71875000,0,0,0
1322940553.16566896,-0.00000622,0.00006962,-401355.03125000,0,0,0
1322940553.22896051,-0.00000622,0.00006962,-401359.25000000,0,0,0
1322940553.26563621,-0.00000622,0.00006962,-401365.56250000,0,0,0
1322940553.31810856,-0.00000622,0.00006962,-401369.75000000,0,0,0
1322940553.36563802,-0.00000624,0.00006950,-401375.03125000,0,0,0
1322940553.41704512,-0.00000622,0.00006962,-401380.28125000,0,0,0
1322940553.46965551,-0.00000624,0.00006950,-401385.56250000,0,0,0
1322940553.51672149,-0.00000622,0.00006963,-401390.81250000,0,0,0
1322940553.56965876,-0.00000624,0.00006950,-401396.06250000,0,0,0
1322940553.61663437,-0.00000622,0.00006963,-401401.34375000,0,0,0
1322940553.66864276,-0.00000624,0.00006950,-401406.59375000,0,0,0
1322940553.71696520,-0.00000622,0.00006963,-401411.87500000,0,0,0
1322940553.76554203,-0.00000624,0.00006950,-401417.12500000,0,0,0
1322940553.81770325,-0.00000622,0.00006963,-401422.37500000,0,0,0
1322940553.86953688,-0.00000624,0.00006951,-401427.65625000,0,0,0
1322940553.91757989,-0.00000622,0.00006963,-401432.90625000,0,0,0
1322940553.96579313,-0.00000624,0.00006951,-401438.18750000,0,0,0
1322940554.01664686,-0.00000622,0.00006963,-401443.43750000,0,0,0
1322940554.06963706,-0.00000624,0.00006951,-401448.71875000,0,0,0
1322940554.11790204,-0.00000622,0.00006963,-401453.96875000,0,0,0
1322940554.16570425,-0.00000624,0.00006951,-401459.21875000,0,0,0
1322940554.21663237,-0.00000622,0.00006963,-401464.50000000,0,0,0
1322940554.26964641,-0.00000624,0.00006951,-401469.75000000,0,0,0
1322940554.31765580,-0.00000622,0.00006963,-401475.03125000,0,0,0
1322940554.36964226,-0.00000624,0.00006951,-401480.28125000,0,0,0
1322940554.41763735,-0.00000622,0.00006963,-401485.56250000,0,0,0
1322940554.46863151,-0.00000624,0.00006951,-401490.81250000,0,0,0
1322940554.52554369,-0.00000622,0.00006964,-401496.09375000,0,0,0
1322940554.56564546,-0.00000622,0.00006964,-401502.40625000,0,0,0
1322940554.61653113,-0.00000622,0.00006964,-401506.59375000,0,0,0
1322940554.66963649,-0.00000624,0.00006951,-401511.87500000,0,0,0
1322940554.72951221,-0.00000622,0.00006964,-401517.12500000,0,0,0
1322940554.76566291,-0.00000622,0.00006964,-401523.43750000,0,0,0
1322940554.82563615,-0.00000622,0.00006964,-401527.65625000,0,0,0
1322940554.86570811,-0.00000622,0.00006964,-401533.96875000,0,0,0
1322940554.91766691,-0.00000622,0.00006964,-401538.18750000,0,0,0
1322940554.96964812,-0.00000624,0.00006952,-401543.43750000,0,0,0
1322940555.01763654,-0.00000622,0.00006964,-401548.71875000,0,0,0
1322940555.06963515,-0.00000624,0.00006952,-401553.96875000,0,0,0
1322940555.11752653,-0.00000621,0.00006964,-401559.25000000,0,0,0
1322940555.16965723,-0.00000624,0.00006952,-401564.50000000,0,0,0
1322940555.21653461,-0.00000621,0.00006964,-401569.78125000,0,0,0
1322940555.26853824,-0.00000624,0.00006952,-401575.03125000,0,0,0
1322940555.31663156,-0.00000621,0.00006964,-401580.31250000,0,0,0
1322940555.36863542,-0.00000624,0.00006952,-401585.56250000,0,0,0
1322940555.41654801,-0.00000621,0.00006965,-401590.81250000,0,0,0
1322940555.46865034,-0.00000624,0.00006952,-401596.09375000,0,0,0
1322940555.51664138,-0.00000621,0.00006965,-401601.34375000,0,0,0
1322940555.56968713,-0.00000624,0.00006952,-401606.62500000,0,0,0
1322940555.61652231,-0.00000621,0.00006965,-401611.87500000,0,0,0
1322940555.66663766,-0.00000624,0.00006952,-401617.15625000,0,0,0
1322940555.71753550,-0.00000621,0.00006965,-401622.40625000,0,0,0
1322940555.76501846,-0.00000624,0.00006952,-401627.68750000,0,0,0
1322940555.81811857,-0.00000621,0.00006965,-401632.93750000,0,0,0
1322940555.86572266,-0.00000623,0.00006952,-401638.21875000,0,0,0
1322940555.91663170,-0.00000621,0.00006965,-401643.46875000,0,0,0
1322940555.96663547,-0.00000623,0.00006953,-401648.75000000,0,0,0
1322940556.01663327,-0.00000621,0.00006965,-401654.00000000,0,0,0
1322940556.06571960,-0.00000623,0.00006953,-401659.28125000,0,0,0
1322940556.11665177,-0.00000621,0.00006965,-401664.53125000,0,0,0
1322940556.16669726,-0.00000623,0.00006953,-401669.81250000,0,0,0
1322940556.22853661,-0.00000621,0.00006965,-401675.06250000,0,0,0
1322940556.26696515,-0.00000621,0.00006965,-401681.37500000,0,0,0
1322940556.31764889,-0.00000621,0.00006966,-401685.59375000,0,0,0
1322940556.36569071,-0.00000623,0.00006953,-401690.87500000,0,0,0
1322940556.41761231,-0.00000621,0.00006966,-401696.12500000,0,0,0
1322940556.46566463,-0.00000623,0.00006953,-401701.37500000,0,0,0
1322940556.51765060,-0.00000621,0.00006966,-401706.65625000,0,0,0
1322940556.56867027,-0.00000623,0.00006953,-401711.90625000,0,0,0
1322940556.61656284,-0.00000621,0.00006966,-401717.18750000,0,0,0
1322940556.66568947,-0.00000623,0.00006953,-401722.43750000,0,0,0
1322940556.71664882,-0.00000621,0.00006966,-401727.71875000,0,0,0
1322940556.76863551,-0.00000623,0.00006953,-401732.96875000,0,0,0
1322940556.82963443,-0.00000621,0.00006966,-401738.25000000,0,0,0
1322940556.86965156,-0.00000621,0.00006966,-401744.56250000,0,0,0
