Time_in_sec,Mx,My,Mz
1322933864.92553782,-0.53030270,-0.05633263,-0.85214502
1322933864.96555257,-0.52980793,-0.05496346,-0.85052633
1322933865.01294613,-0.53420043,-0.05763939,-0.85609323
1322933865.06560612,-0.53143132,-0.05873878,-0.85085803
1322933865.11421824,-0.53210956,-0.05820157,-0.85303491
1322933865.16563535,-0.53068292,-0.05696540,-0.85176194
1322933865.21268654,-0.53161585,-0.05465912,-0.85343313
1322933865.27287006,-0.53194988,-0.05810574,-0.85035896
1322933865.32468152,-0.53252858,-0.05594457,-0.85067499
1322933865.37259984,-0.53139579,-0.05101149,-0.85158044
1322933865.41352916,-0.53184432,-0.05418345,-0.85038215
1322933865.47284865,-0.53234249,-0.05919262,-0.85477477
1322933865.51264572,-0.53385961,-0.05302831,-0.84983939
1322933865.56555128,-0.53311980,-0.06035307,-0.85200977
1322933865.62466383,-0.53224194,-0.05769523,-0.85291290
1322933865.67257166,-0.53207701,-0.05418798,-0.84972852
1322933865.71263504,-0.53326994,-0.05453512,-0.85152823
1322933865.77273035,-0.53313076,-0.05896073,-0.85202080
1322933865.81269693,-0.53243113,-0.05303180,-0.85095787
1322933865.86471510,-0.53304964,-0.06008920,-0.85307473
1322933865.91255355,-0.53313488,-0.05741879,-0.85416651
1322933865.96497583,-0.53301024,-0.05592600,-0.85190308
1322933866.02560520,-0.53090775,-0.05490020,-0.85525805
1322933866.07255387,-0.53210628,-0.05352592,-0.85240269
1322933866.11307907,-0.53186727,-0.05432997,-0.84851509
1322933866.17272472,-0.53272569,-0.05944566,-0.85439473
1322933866.22560406,-0.53140593,-0.05482567,-0.84995210
1322933866.26667285,-0.53005570,-0.05509150,-0.85013944
1322933866.32555389,-0.53142363,-0.05869120,-0.85525936
1322933866.36658931,-0.53212118,-0.05367399,-0.85040182
1322933866.41264915,-0.53112638,-0.05771245,-0.85244870
1322933866.47261930,-0.53242356,-0.05705308,-0.85359496
1322933866.52454805,-0.53408545,-0.05594103,-0.84943044
1322933866.56562281,-0.53180504,-0.05305348,-0.84958804
1322933866.62558246,-0.53329945,-0.05791737,-0.85470575
1322933866.67262721,-0.53193653,-0.05368479,-0.84959090
1322933866.72557759,-0.53347439,-0.05302842,-0.85021740
1322933866.77258897,-0.53245610,-0.05087846,-0.85110873
1322933866.82463574,-0.53254938,-0.05432209,-0.84855425
1322933866.87358117,-0.53123343,-0.05329299,-0.85142076
1322933866.92461538,-0.53017378,-0.05130185,-0.84937423
1322933866.96559978,-0.53200155,-0.04950161,-0.85015929
1322933867.02459860,-0.53397167,-0.05917526,-0.85473490
1322933867.06453967,-0.53106183,-0.05368044,-0.85087454
1322933867.12558270,-0.53252995,-0.05882666,-0.85332108
1322933867.17355776,-0.53246039,-0.05441646,-0.85161608
1322933867.22456431,-0.53222144,-0.05418487,-0.84987020
